kategori,hiragana,katakana,romaji,arti,tipe,catatan
"frase,verbphrase,variasi,variasi,variasi",ちちをいます（れい20040）（れい20066）（れい21215）,,chichi o imasu-20040-20066-21215,ada (makhluk hidup) (sopan) ayah (saya) (var-20040) (var-20066) (var-21215),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi,variasi",てをします（れい20934）（れい21511）（れい22767）（れい28455）,,te o shimasu-20934-21511-22767-28455,melakukan tangan (var-20934) (var-21511) (var-22767) (var-28455),phrase,auto-pad
"frase,verbphrase",あにをのむます,,ani o nomimasu,minum (sopan) kakak laki-laki (saya),phrase,
"frase,verbphrase,variasi,variasi",じてんしゃをねる（れい22517）（れい25331）,,jitensha o neru-22517-25331,tidur sepeda (var-22517) (var-25331),phrase,auto-pad
"frase,verbphrase,variasi",あしをよむます（れい23208）,,ashi o yomimasu-23208,membaca (sopan) kaki (var-23208),phrase,auto-pad
"frase,verbphrase,variasi",おかあさんをはなすます（れい21565）,,okaasan o hanasimasu-21565,berbicara (sopan) ibu (sopan) (var-21565),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi,variasi",バスはどこですか（れい20658）（れい21123）（れい26561）,,basu wa doko desu ka-20658-21123-26561,Di mana bus? (var-20658) (var-21123) (var-26561),question,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ほんをくる（れい20411）（れい23171）（れい25039）（れい25329）,,hon o kuru-20411-23171-25039-25329,datang buku (var-20411) (var-23171) (var-25039) (var-25329),phrase,auto-pad
"frase,verbphrase,variasi,variasi",だいどころをはなす（れい20052）（れい27300）,,daidokoro o hanasu-20052-27300,berbicara dapur (var-20052) (var-27300),phrase,auto-pad
"frase,verbphrase",てをよむ,,te o yomu,membaca tangan,phrase,
"frase,verbphrase",ごはんをよむ,,gohan o yomu,membaca nasi,phrase,
"frase,verbphrase",いもうとをねます,,imouto o nemasu,tidur (sopan) adik perempuan,phrase,
"frase,verbphrase",バスをたべる,,basu o taberu,makan bus,phrase,
"frase,verbphrase,variasi,variasi,variasi",てをおきます（れい22569）（れい26782）（れい26920）,,te o okimasu-22569-26782-26920,bangun (sopan) tangan (var-22569) (var-26782) (var-26920),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをくる（れい21085）（れい22875）,,te o kuru-21085-22875,datang tangan (var-21085) (var-22875),phrase,auto-pad
"frase,verbphrase",あにをみる,,ani o miru,melihat kakak laki-laki (saya),phrase,
"kata sifat,adjective,variasi,variasi",かなしい（れい20095）（れい25090）,,kanashii-20095-25090,sedih (var-20095) (var-25090),adjective,auto-pad
"frase,verbphrase",くるまをくます,,kuruma o kimasu,datang (sopan) mobil,phrase,
"frase,verbphrase,variasi",あしをはなすます（れい24364）,,ashi o hanasimasu-24364,berbicara (sopan) kaki (var-24364),phrase,auto-pad
"frase,verbphrase,variasi,variasi",スマホをはなすます（れい22715）（れい24686）,,sumaho o hanasimasu-22715-24686,berbicara (sopan) smartphone (var-22715) (var-24686),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おんがくをくます（れい20648）（れい20875）,,ongaku o kimasu-20648-20875,datang (sopan) musik (var-20648) (var-20875),phrase,auto-pad
"frase,verbphrase,variasi",コーヒーをすます（れい24748）,,koohii o shimasu-24748,melakukan (sopan) kopi (var-24748),phrase,auto-pad
"frase,verbphrase",おとうさんをねます,,otousan o nemasu,tidur (sopan) ayah (sopan),phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi,variasi,variasi",ほんをよむます（れい20062）（れい20459）（れい21703）（れい21839）（れい22002）（れい23933）（れい25234）（れい26419）,,hon o yomimasu-20062-20459-21703-21839-22002-23933-25234-26419,membaca (sopan) buku (var-20062) (var-20459) (var-21703) (var-21839) (var-22002) (var-23933) (var-25234) (var-26419),phrase,auto-pad
"frase,verbphrase,variasi",コーヒーをみる（れい23332）,,koohii o miru-23332,melihat kopi (var-23332),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをきくます（れい25207）,,jitensha o kikimasu-25207,mendengar (sopan) sepeda (var-25207),phrase,auto-pad
"frase,verbphrase,variasi",ちちをはなすます（れい22042）,,chichi o hanasimasu-22042,berbicara (sopan) ayah (saya) (var-22042),phrase,auto-pad
"frase,verbphrase,variasi",スマホをみます（れい21361）,,sumaho o mimasu-21361,melihat (sopan) smartphone (var-21361),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ほんをおきます（れい20807）（れい21008）（れい21464）（れい23055）,,hon o okimasu-20807-21008-21464-23055,bangun (sopan) buku (var-20807) (var-21008) (var-21464) (var-23055),phrase,auto-pad
"frase,verbphrase,variasi",スマホをねる（れい21018）,,sumaho o neru-21018,tidur smartphone (var-21018),phrase,auto-pad
"frase,verbphrase",つくえをいる,,tsukue o iru,ada (makhluk hidup) meja,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",えいがをきく（れい20051）（れい23135）（れい25953）（れい28351）,,eiga o kiku-20051-23135-25953-28351,mendengar film (var-20051) (var-23135) (var-25953) (var-28351),phrase,auto-pad
"frase,verbphrase",じてんしゃをいる,,jitensha o iru,ada (makhluk hidup) sepeda,phrase,
"kata benda,benda,frase,like,variasi,variasi",コーヒーがすきです（れい20058）（れい25317）,,koohii ga suki desu-20058-25317,suka kopi (var-20058) (var-25317),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",おんがくをねます（れい20574）（れい21442）（れい21690）,,ongaku o nemasu-20574-21442-21690,tidur (sopan) musik (var-20574) (var-21442) (var-21690),phrase,auto-pad
"frase,verbphrase,variasi,variasi",がっこうをのむます（れい20603）（れい25285）,,gakkou o nomimasu-20603-25285,minum (sopan) sekolah (var-20603) (var-25285),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",あにをみる（れい20360）（れい20441）（れい20642）（れい25051）（れい25264）（れい26846）,,ani o miru-20360-20441-20642-25051-25264-26846,melihat kakak laki-laki (saya) (var-20360) (var-20441) (var-20642) (var-25051) (var-25264) (var-26846),phrase,auto-pad
"frase,verbphrase,variasi",ねこをかくます（れい22360）,,neko o kakimasu-22360,menulis (sopan) kucing (var-22360),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",じてんしゃをのむます（れい20502）（れい21476）（れい21814）（れい21977）（れい28059）,,jitensha o nomimasu-20502-21476-21814-21977-28059,minum (sopan) sepeda (var-20502) (var-21476) (var-21814) (var-21977) (var-28059),phrase,auto-pad
"frase,verbphrase,variasi,variasi",くるまをいくます（れい21789）（れい24587）,,kuruma o ikimasu-21789-24587,pergi (sopan) mobil (var-21789) (var-24587),phrase,auto-pad
"frase,verbphrase,variasi",あにをいく（れい21937）,,ani o iku-21937,pergi kakak laki-laki (saya) (var-21937),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ははをねます（れい20434）（れい22552）（れい22698）（れい27687）,,haha o nemasu-20434-22552-22698-27687,tidur (sopan) ibu (saya) (var-20434) (var-22552) (var-22698) (var-27687),phrase,auto-pad
"kata benda,benda,frase,do",がっこうをします,,gakkou o shimasu,melakukan sekolah,phrase,
"frase,verbphrase,variasi",くるまをある（れい26202）,,kuruma o aru-26202,ada (benda) mobil (var-26202),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi,variasi,variasi,variasi,variasi,variasi",ほんをよむます（れい20062）（れい20459）（れい21703）（れい21839）（れい22002）（れい22548）（れい25448）（れい25478）（れい25899）（れい26520）（れい28470）,,hon o yomimasu-20062-20459-21703-21839-22002-22548-25448-25478-25899-26520-28470,membaca (sopan) buku (var-20062) (var-20459) (var-21703) (var-21839) (var-22002) (var-22548) (var-25448) (var-25478) (var-25899) (var-26520) (var-28470),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ごはんをする（れい20130）（れい20169）（れい20991）（れい21086）,,gohan o suru-20130-20169-20991-21086,melakukan nasi (var-20130) (var-20169) (var-20991) (var-21086),phrase,auto-pad
"frase,verbphrase",ちちをおきます,,chichi o okimasu,bangun (sopan) ayah (saya),phrase,
"frase,verbphrase,variasi,variasi",おんがくをねます（れい20574）（れい25776）,,ongaku o nemasu-20574-25776,tidur (sopan) musik (var-20574) (var-25776),phrase,auto-pad
"frase,verbphrase,variasi",てをのむます（れい20984）,,te o nomimasu-20984,minum (sopan) tangan (var-20984),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おんがくをねる（れい21029）（れい22576）,,ongaku o neru-21029-22576,tidur musik (var-21029) (var-22576),phrase,auto-pad
"frase,verbphrase,variasi",スマホをくる（れい20142）,,sumaho o kuru-20142,datang smartphone (var-20142),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",バスをのむます（れい20044）（れい20419）（れい22142）,,basu o nomimasu-20044-20419-22142,minum (sopan) bus (var-20044) (var-20419) (var-22142),phrase,auto-pad
"kata benda,benda,variasi",へや（れい23414）,,heya-23414,kamar (var-23414),noun,auto-pad
"frase,verbphrase,variasi,variasi",おんがくをかく（れい21652）（れい24674）,,ongaku o kaku-21652-24674,menulis musik (var-21652) (var-24674),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",だいどころをいくます（れい20149）（れい21711）（れい25281）（れい25466）,,daidokoro o ikimasu-20149-21711-25281-25466,pergi (sopan) dapur (var-20149) (var-21711) (var-25281) (var-25466),phrase,auto-pad
"frase,verbphrase,variasi",おかあさんをかく（れい20561）,,okaasan o kaku-20561,menulis ibu (sopan) (var-20561),phrase,auto-pad
"frase,verbphrase,variasi,variasi",みずをいます（れい25963）（れい28649）,,mizu o imasu-25963-28649,ada (makhluk hidup) (sopan) air (var-25963) (var-28649),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",ごはんをする（れい20130）（れい20169）（れい21219）（れい23639）（れい24846）（れい27239）,,gohan o suru-20130-20169-21219-23639-24846-27239,melakukan nasi (var-20130) (var-20169) (var-21219) (var-23639) (var-24846) (var-27239),phrase,auto-pad
"frase,verbphrase",だいどころをくます,,daidokoro o kimasu,datang (sopan) dapur,phrase,
"kata benda,benda,frase,like,variasi,variasi,variasi",パンがすきです（れい20591）（れい23353）（れい23983）,,pan ga suki desu-20591-23353-23983,suka roti (var-20591) (var-23353) (var-23983),phrase,auto-pad
"frase,verbphrase,variasi",てをおきます（れい22569）,,te o okimasu-22569,bangun (sopan) tangan (var-22569),phrase,auto-pad
"frase,verbphrase,variasi",あしをおきる（れい21918）,,ashi o okiru-21918,bangun kaki (var-21918),phrase,auto-pad
"frase,verbphrase,variasi",くるまをくる（れい24411）,,kuruma o kuru-24411,datang mobil (var-24411),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi",でんしゃをします（れい26220）（れい27737）,,densha o shimasu-26220-27737,melakukan kereta (var-26220) (var-27737),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おとうさんをよむ（れい22209）（れい22374）,,otousan o yomu-22209-22374,membaca ayah (sopan) (var-22209) (var-22374),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いもうとをおきる（れい20545）（れい21166）,,imouto o okiru-20545-21166,bangun adik perempuan (var-20545) (var-21166),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをきく（れい20932）（れい23729）,,tsukue o kiku-20932-23729,mendengar meja (var-20932) (var-23729),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",じてんしゃをねます（れい21548）（れい23483）（れい24162）（れい25006）（れい26391）（れい28956）,,jitensha o nemasu-21548-23483-24162-25006-26391-28956,tidur (sopan) sepeda (var-21548) (var-23483) (var-24162) (var-25006) (var-26391) (var-28956),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi,variasi",つくえのバス（れい21341）（れい22242）（れい23266）（れい26111）,,tsukue no basu-21341-22242-23266-26111,meja dari bus (var-21341) (var-22242) (var-23266) (var-26111),compound,auto-pad
"kata benda,benda,variasi,variasi",えいが（れい21712）（れい24474）,,eiga-21712-24474,film (var-21712) (var-24474),noun,auto-pad
"frase,verbphrase,variasi",だいどころをよむ（れい20135）,,daidokoro o yomu-20135,membaca dapur (var-20135),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをいく（れい20146）,,jitensha o iku-20146,pergi sepeda (var-20146),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",あしをねます（れい20427）（れい23032）（れい24502）（れい26760）（れい26986）,,ashi o nemasu-20427-23032-24502-26760-26986,tidur (sopan) kaki (var-20427) (var-23032) (var-24502) (var-26760) (var-26986),phrase,auto-pad
"frase,verbphrase",いぬをたべます,,inu o tabemasu,makan (sopan) anjing,phrase,
"frase,verbphrase",つくえをねる,,tsukue o neru,tidur meja,phrase,
"frase,verbphrase,variasi,variasi,variasi",ごはんをはなす（れい21246）（れい21453）（れい23859）,,gohan o hanasu-21246-21453-23859,berbicara nasi (var-21246) (var-21453) (var-23859),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",いすをみます（れい20378）（れい20858）（れい22614）（れい25183）,,isu o mimasu-20378-20858-22614-25183,melihat (sopan) kursi (var-20378) (var-20858) (var-22614) (var-25183),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi",ごはんのコーヒー（れい21542）（れい22841）,,gohan no koohii-21542-22841,nasi dari kopi (var-21542) (var-22841),compound,auto-pad
"frase,verbphrase",がっこうをはなす,,gakkou o hanasu,berbicara sekolah,phrase,
"kata benda,benda,frase,do,variasi,variasi,variasi",えいがをします（れい20447）（れい21076）（れい21885）,,eiga o shimasu-20447-21076-21885,melakukan film (var-20447) (var-21076) (var-21885),phrase,auto-pad
"frase,verbphrase,variasi,variasi",パンをあます（れい21558）（れい22206）,,pan o arimasu-21558-22206,ada (benda) (sopan) roti (var-21558) (var-22206),phrase,auto-pad
"frase,verbphrase",おとうさんをのむ,,otousan o nomu,minum ayah (sopan),phrase,
"frase,verbphrase,variasi,variasi,variasi",がっこうをきく（れい20019）（れい20695）（れい22726）,,gakkou o kiku-20019-20695-22726,mendengar sekolah (var-20019) (var-20695) (var-22726),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",でんしゃをいる（れい20056）（れい20159）（れい20609）（れい25465）（れい25748）,,densha o iru-20056-20159-20609-25465-25748,ada (makhluk hidup) kereta (var-20056) (var-20159) (var-20609) (var-25465) (var-25748),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",コーヒーをくる（れい20008）（れい20930）（れい21054）（れい27805）,,koohii o kuru-20008-20930-21054-27805,datang kopi (var-20008) (var-20930) (var-21054) (var-27805),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",へやをきくます（れい20968）（れい22696）（れい26213）,,heya o kikimasu-20968-22696-26213,mendengar (sopan) kamar (var-20968) (var-22696) (var-26213),phrase,auto-pad
"frase,verbphrase,variasi,variasi",へやをいます（れい23017）（れい23291）,,heya o imasu-23017-23291,ada (makhluk hidup) (sopan) kamar (var-23017) (var-23291),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あにをおきる（れい21205）（れい22972）（れい23290）,,ani o okiru-21205-22972-23290,bangun kakak laki-laki (saya) (var-21205) (var-22972) (var-23290),phrase,auto-pad
"partikel,grammar,variasi,variasi,variasi,variasi,variasi,variasi",は（れい20156）（れい20604）（れい22451）（れい23477）（れい23896）（れい24230）,,wa-20156-20604-22451-23477-23896-24230,partikel topik (var-20156) (var-20604) (var-22451) (var-23477) (var-23896) (var-24230),particle,auto-pad
"frase,verbphrase,variasi,variasi",ははをねます（れい20581）（れい27786）,,haha o nemasu-20581-27786,tidur (sopan) ibu (saya) (var-20581) (var-27786),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをおきる（れい20323）（れい25808）,,tsukue o okiru-20323-25808,bangun meja (var-20323) (var-25808),phrase,auto-pad
"frase,verbphrase",がっこうをたべる,,gakkou o taberu,makan sekolah,phrase,
"frase,verbphrase,variasi,variasi,variasi",コーヒーをきくます（れい20086）（れい20711）（れい22784）,,koohii o kikimasu-20086-20711-22784,mendengar (sopan) kopi (var-20086) (var-20711) (var-22784),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをいく（れい20315）（れい20351）（れい22525）,,imouto o iku-20315-20351-22525,pergi adik perempuan (var-20315) (var-20351) (var-22525),phrase,auto-pad
"kata benda,benda,pertanyaan",だいどころはどこですか,,daidokoro wa doko desu ka,Di mana dapur?,question,
"frase,verbphrase,variasi",ははをはなす（れい20133）,,haha o hanasu-20133,berbicara ibu (saya) (var-20133),phrase,auto-pad
"frase,verbphrase,variasi",パンをみる（れい20953）,,pan o miru-20953,melihat roti (var-20953),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ねこをよむます（れい20698）（れい27139）,,neko o yomimasu-20698-27139,membaca (sopan) kucing (var-20698) (var-27139),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ちちをたべる（れい20079）（れい21419）,,chichi o taberu-20079-21419,makan ayah (saya) (var-20079) (var-21419),phrase,auto-pad
"frase,verbphrase",えいがをはなすます,,eiga o hanasimasu,berbicara (sopan) film,phrase,
"frase,verbphrase,variasi,variasi",あにをする（れい21424）（れい22123）,,ani o suru-21424-22123,melakukan kakak laki-laki (saya) (var-21424) (var-22123),phrase,auto-pad
"kata benda,benda,variasi",ほん（れい25013）,,hon-25013,buku (var-25013),noun,auto-pad
"frase,verbphrase,variasi",ははをはなすます（れい23762）,,haha o hanasimasu-23762,berbicara (sopan) ibu (saya) (var-23762),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをたべる（れい21338）（れい28245）,,te o taberu-21338-28245,makan tangan (var-21338) (var-28245),phrase,auto-pad
"frase,verbphrase,variasi",おねえさんをいくます（れい20551）,,oneesan o ikimasu-20551,pergi (sopan) kakak perempuan (sopan) (var-20551),phrase,auto-pad
"frase,verbphrase,variasi,variasi",えいがをたべます（れい20519）（れい25232）,,eiga o tabemasu-20519-25232,makan (sopan) film (var-20519) (var-25232),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あしをのむます（れい20177）（れい21402）（れい26389）,,ashi o nomimasu-20177-21402-26389,minum (sopan) kaki (var-20177) (var-21402) (var-26389),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",おとうさんをいくます（れい20549）（れい24711）（れい25434）,,otousan o ikimasu-20549-24711-25434,pergi (sopan) ayah (sopan) (var-20549) (var-24711) (var-25434),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",じてんしゃをする（れい20856）（れい24857）（れい26136）（れい28156）,,jitensha o suru-20856-24857-26136-28156,melakukan sepeda (var-20856) (var-24857) (var-26136) (var-28156),phrase,auto-pad
"frase,verbphrase,variasi",ねこをくます（れい26290）,,neko o kimasu-26290,datang (sopan) kucing (var-26290),phrase,auto-pad
"frase,verbphrase,variasi",あしをあます（れい27403）,,ashi o arimasu-27403,ada (benda) (sopan) kaki (var-27403),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi",えいがのパン（れい22695）（れい28407）,,eiga no pan-22695-28407,film dari roti (var-22695) (var-28407),compound,auto-pad
"frase,verbphrase,variasi,variasi",おねえさんをたべます（れい20956）（れい21229）,,oneesan o tabemasu-20956-21229,makan (sopan) kakak perempuan (sopan) (var-20956) (var-21229),phrase,auto-pad
"kata benda,benda,frase,like,variasi",じてんしゃがすきです（れい20346）,,jitensha ga suki desu-20346,suka sepeda (var-20346),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おんがくをいく（れい21149）（れい22290）,,ongaku o iku-21149-22290,pergi musik (var-21149) (var-22290),phrase,auto-pad
"frase,verbphrase,variasi",パンをのむ（れい21310）,,pan o nomu-21310,minum roti (var-21310),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いすをおきます（れい20349）（れい21057）（れい27026）,,isu o okimasu-20349-21057-27026,bangun (sopan) kursi (var-20349) (var-21057) (var-27026),phrase,auto-pad
"frase,verbphrase,variasi",がっこうをきく（れい20466）,,gakkou o kiku-20466,mendengar sekolah (var-20466),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おかあさんをくる（れい20249）（れい20819）,,okaasan o kuru-20249-20819,datang ibu (sopan) (var-20249) (var-20819),phrase,auto-pad
"frase,verbphrase,variasi,variasi",でんしゃをはなす（れい22368）（れい22647）,,densha o hanasu-22368-22647,berbicara kereta (var-22368) (var-22647),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",がっこうをあます（れい20394）（れい25707）（れい26680）,,gakkou o arimasu-20394-25707-26680,ada (benda) (sopan) sekolah (var-20394) (var-25707) (var-26680),phrase,auto-pad
"frase,verbphrase,variasi,variasi",あたまをおきます（れい21506）（れい24109）,,atama o okimasu-21506-24109,bangun (sopan) kepala (var-21506) (var-24109),phrase,auto-pad
"frase,verbphrase,variasi",つくえをはなすます（れい23173）,,tsukue o hanasimasu-23173,berbicara (sopan) meja (var-23173),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",じてんしゃをのむます（れい20502）（れい21476）（れい21814）（れい21977）（れい22226）（れい26457）,,jitensha o nomimasu-20502-21476-21814-21977-22226-26457,minum (sopan) sepeda (var-20502) (var-21476) (var-21814) (var-21977) (var-22226) (var-26457),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi,variasi",あしはどこですか（れい20325）（れい24068）（れい26640）,,ashi wa doko desu ka-20325-24068-26640,Di mana kaki? (var-20325) (var-24068) (var-26640),question,auto-pad
"kata benda,benda,variasi,variasi,variasi,variasi,variasi",コーヒー（れい20162）（れい20529）（れい22006）（れい24998）（れい27871）,コーヒー,koohii-20162-20529-22006-24998-27871,kopi (var-20162) (var-20529) (var-22006) (var-24998) (var-27871),noun,auto-pad
"frase,verbphrase,variasi",パンをのむ（れい24227）,,pan o nomu-24227,minum roti (var-24227),phrase,auto-pad
"kata kerja,verb,variasi,variasi,variasi,variasi,variasi",いる（れい20766）（れい22388）（れい25432）（れい26621）（れい28509）,,iru-20766-22388-25432-26621-28509,ada (makhluk hidup) (var-20766) (var-22388) (var-25432) (var-26621) (var-28509),verb (dictionary),auto-pad
"frase,verbphrase,variasi",コーヒーをいく（れい24820）,,koohii o iku-24820,pergi kopi (var-24820),phrase,auto-pad
"kata benda,benda,komposit,variasi",てのちち（れい20172）,,te no chichi-20172,tangan dari ayah (saya) (var-20172),compound,auto-pad
"frase,verbphrase,variasi,variasi",みずをきくます（れい20569）（れい20893）,,mizu o kikimasu-20569-20893,mendengar (sopan) air (var-20569) (var-20893),phrase,auto-pad
"frase,verbphrase,variasi",バスをおきる（れい23074）,,basu o okiru-23074,bangun bus (var-23074),phrase,auto-pad
"frase,verbphrase,variasi,variasi",スマホをくる（れい20142）（れい21463）,,sumaho o kuru-20142-21463,datang smartphone (var-20142) (var-21463),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いすをかくます（れい23977）（れい24720）（れい27194）,,isu o kakimasu-23977-24720-27194,menulis (sopan) kursi (var-23977) (var-24720) (var-27194),phrase,auto-pad
"kata benda,benda,variasi,variasi,variasi",ごはん（れい25194）（れい26652）（れい28582）,,gohan-25194-26652-28582,nasi (var-25194) (var-26652) (var-28582),noun,auto-pad
"frase,verbphrase,variasi,variasi,variasi",でんしゃをいる（れい20056）（れい20179）（れい25833）,,densha o iru-20056-20179-25833,ada (makhluk hidup) kereta (var-20056) (var-20179) (var-25833),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",でんしゃをいる（れい20056）（れい20159）（れい20472）,,densha o iru-20056-20159-20472,ada (makhluk hidup) kereta (var-20056) (var-20159) (var-20472),phrase,auto-pad
"frase,verbphrase,variasi",ちちをあます（れい20662）,,chichi o arimasu-20662,ada (benda) (sopan) ayah (saya) (var-20662),phrase,auto-pad
"frase,verbphrase,variasi",あにをある（れい21339）,,ani o aru-21339,ada (benda) kakak laki-laki (saya) (var-21339),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あにをよむます（れい20230）（れい21891）（れい27834）,,ani o yomimasu-20230-21891-27834,membaca (sopan) kakak laki-laki (saya) (var-20230) (var-21891) (var-27834),phrase,auto-pad
"frase,verbphrase,variasi",いもうとをいる（れい20557）,,imouto o iru-20557,ada (makhluk hidup) adik perempuan (var-20557),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",つくえをかく（れい20231）（れい20377）（れい24501）,,tsukue o kaku-20231-20377-24501,menulis meja (var-20231) (var-20377) (var-24501),phrase,auto-pad
"kata kerja,verb,variasi,variasi,variasi",のむます（れい20476）（れい21110）（れい23481）,,nomimasu-20476-21110-23481,minum (sopan) (var-20476) (var-21110) (var-23481),verb (masu),auto-pad
"frase,verbphrase",ほんをきく,,hon o kiku,mendengar buku,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",だいどころをよむます（れい20680）（れい21522）（れい21708）（れい22222）（れい22503）（れい25209）,,daidokoro o yomimasu-20680-21522-21708-22222-22503-25209,membaca (sopan) dapur (var-20680) (var-21522) (var-21708) (var-22222) (var-22503) (var-25209),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ははをおきます（れい22254）（れい23100）（れい23412）（れい25866）,,haha o okimasu-22254-23100-23412-25866,bangun (sopan) ibu (saya) (var-22254) (var-23100) (var-23412) (var-25866),phrase,auto-pad
"frase,verbphrase,variasi,variasi",へやをのむ（れい20331）（れい21833）,,heya o nomu-20331-21833,minum kamar (var-20331) (var-21833),phrase,auto-pad
"frase,verbphrase",あしをおきる,,ashi o okiru,bangun kaki,phrase,
"kata sifat,adjective,variasi",やすい（れい21493）,,yasui-21493,murah (var-21493),adjective,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いぬをいます（れい20740）（れい21153）（れい23968）,,inu o imasu-20740-21153-23968,ada (makhluk hidup) (sopan) anjing (var-20740) (var-21153) (var-23968),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",バスをいくます（れい20654）（れい22898）（れい23681）,,basu o ikimasu-20654-22898-23681,pergi (sopan) bus (var-20654) (var-22898) (var-23681),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi",えいがをします（れい20018）（れい26438）（れい27025）,,eiga o shimasu-20018-26438-27025,melakukan film (var-20018) (var-26438) (var-27025),phrase,auto-pad
"frase,verbphrase,variasi",へやをのむます（れい23404）,,heya o nomimasu-23404,minum (sopan) kamar (var-23404),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",えいがをはなす（れい20083）（れい21834）（れい21881）（れい25574）（れい25989）,,eiga o hanasu-20083-21834-21881-25574-25989,berbicara film (var-20083) (var-21834) (var-21881) (var-25574) (var-25989),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",だいどころをいくます（れい21917）（れい22023）（れい25251）（れい27635）,,daidokoro o ikimasu-21917-22023-25251-27635,pergi (sopan) dapur (var-21917) (var-22023) (var-25251) (var-27635),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",スマホをくる（れい20142）（れい21463）（れい21560）（れい24965）（れい26692）,,sumaho o kuru-20142-21463-21560-24965-26692,datang smartphone (var-20142) (var-21463) (var-21560) (var-24965) (var-26692),phrase,auto-pad
"frase,verbphrase",へやをねる,,heya o neru,tidur kamar,phrase,
"frase,verbphrase,variasi,variasi",つくえをいる（れい25909）（れい26771）,,tsukue o iru-25909-26771,ada (makhluk hidup) meja (var-25909) (var-26771),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",てをきく（れい20047）（れい25619）（れい26436）,,te o kiku-20047-25619-26436,mendengar tangan (var-20047) (var-25619) (var-26436),phrase,auto-pad
