kategori,jepang,romaji,arti,tipe,catatan
frase,せんせいをみます（れい1409）（れい5422）（れい2084）（れい2403）（れい9849）（れい5557）（れい7340）（れい5072）,sensei o mimasu-1409-5422-2084-2403-9849-5557-7340-5072,Menonton guru (var-1409) (var-5422) (var-2084) (var-2403) (var-9849) (var-5557) (var-7340) (var-5072),frase,auto-var
frase,たべるをみます（れい9751）（れい8749）（れい3536）（れい9715）,taberu o mimasu-9751-8749-3536-9715,Menonton makan (var-9751) (var-8749) (var-3536) (var-9715),frase,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい1757）（れい1436）,gakkou-3286-5915-1757-1436,sekolah (var-3286) (var-5915) (var-1757) (var-1436),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい3646）（れい7396）（れい9821）（れい7883）（れい8451）（れい8682）（れい3245）,tanoshii-2424-3646-7396-9821-7883-8451-8682-3245,menyenangkan (var-2424) (var-3646) (var-7396) (var-9821) (var-7883) (var-8451) (var-8682) (var-3245),kata sifat,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい1241）（れい1282）（れい6345）,ni o mimasu-6574-4752-2040-1241-1282-6345,Menonton dua (var-6574) (var-4752) (var-2040) (var-1241) (var-1282) (var-6345),frase,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい4681）（れい4522）（れい3909）,otousan-2679-8651-9288-4681-4522-3909,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-4681) (var-4522) (var-3909),kata benda,auto-var
sekolah,せんせい（れい5371）（れい5092）（れい2880）（れい6493）（れい3252）（れい9115）,sensei-5371-5092-2880-6493-3252-9115,guru (var-5371) (var-5092) (var-2880) (var-6493) (var-3252) (var-9115),kata benda,auto-var
sekolah,がっこう（れい3286）（れい8381）（れい4335）,gakkou-3286-8381-4335,sekolah (var-3286) (var-8381) (var-4335),kata benda,auto-var
frase,たべますがすきです（れい1158）（れい6585）,tabemasu ga suki desu-1158-6585,Saya suka makan (sopan) (var-1158) (var-6585),frase,auto-var
perkenalan,こんにちは（れい4257）（れい5386）（れい3504）（れい4613）（れい9561）（れい2527）（れい6517）（れい8846）,konnichiwa-4257-5386-3504-4613-9561-2527-6517-8846,halo (var-4257) (var-5386) (var-3504) (var-4613) (var-9561) (var-2527) (var-6517) (var-8846),ungkapan,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい7044）（れい7685）（れい7078）,otousan-2679-8651-9288-7044-7685-7078,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-7044) (var-7685) (var-7078),kata benda,auto-var
hobi,えいが（れい4582）（れい9785）（れい5315）（れい6352）（れい7437）（れい1528）（れい7044）,eiga-4582-9785-5315-6352-7437-1528-7044,film (var-4582) (var-9785) (var-5315) (var-6352) (var-7437) (var-1528) (var-7044),kata benda,auto-var
frase,せんせいをみます（れい1409）（れい7304）,sensei o mimasu-1409-7304,Menonton guru (var-1409) (var-7304),frase,auto-var
frase,たべるをみます（れい4150）（れい5034）,taberu o mimasu-4150-5034,Menonton makan (var-4150) (var-5034),frase,auto-var
perkenalan,はじめまして（れい1053）（れい6539）（れい2011）（れい3539）,hajimemashite-1053-6539-2011-3539,senang bertemu denganmu (var-1053) (var-6539) (var-2011) (var-3539),ungkapan,auto-var
frase,えいががすきです（れい6794）（れい8541）（れい3253）（れい6804）（れい3474）（れい2168）,eiga ga suki desu-6794-8541-3253-6804-3474-2168,Saya suka film (var-6794) (var-8541) (var-3253) (var-6804) (var-3474) (var-2168),frase,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい2143）,sensei o mimasu-4657-5889-2143,Menonton guru (var-4657) (var-5889) (var-2143),frase,auto-var
frase,えいががすきです（れい2489）（れい4258）（れい4588）（れい5605）,eiga ga suki desu-2489-4258-4588-5605,Saya suka film (var-2489) (var-4258) (var-4588) (var-5605),frase,auto-var
keluarga,おとうさん（れい1488）（れい6635）（れい8461）（れい2680）（れい4868）（れい7266）,otousan-1488-6635-8461-2680-4868-7266,ayah (sopan) (var-1488) (var-6635) (var-8461) (var-2680) (var-4868) (var-7266),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい1441）（れい1853）（れい6928）（れい4688）,sensei o mimasu-4657-5889-1441-1853-6928-4688,Menonton guru (var-4657) (var-5889) (var-1441) (var-1853) (var-6928) (var-4688),frase,auto-var
frase,ほんにいきます（れい3664）（れい5304）（れい6930）（れい4630）（れい2821）（れい5992）（れい6175）,hon ni ikimasu-3664-5304-6930-4630-2821-5992-6175,Pergi ke buku (var-3664) (var-5304) (var-6930) (var-4630) (var-2821) (var-5992) (var-6175),frase,auto-var
hobi,えいが（れい7606）,eiga-7606,film (var-7606),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい1916）（れい7252）（れい5352）（れい2591）（れい4150）,tanoshii-2424-1520-5552-1916-7252-5352-2591-4150,menyenangkan (var-2424) (var-1520) (var-5552) (var-1916) (var-7252) (var-5352) (var-2591) (var-4150),kata sifat,auto-var
frase,せんせいをみます（れい4657）（れい8260）（れい6617）（れい6549）（れい3068）（れい2465）（れい1104）,sensei o mimasu-4657-8260-6617-6549-3068-2465-1104,Menonton guru (var-4657) (var-8260) (var-6617) (var-6549) (var-3068) (var-2465) (var-1104),frase,auto-var
sekolah,せんせい（れい5012）（れい7916）（れい1651）,sensei-5012-7916-1651,guru (var-5012) (var-7916) (var-1651),kata benda,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6313）（れい5820）（れい8033）（れい7236）,tabemasu ga suki desu-2139-7227-6313-5820-8033-7236,Saya suka makan (sopan) (var-2139) (var-7227) (var-6313) (var-5820) (var-8033) (var-7236),frase,auto-var
keluarga,おとうさん（れい2679）（れい4814）（れい5835）（れい4112）,otousan-2679-4814-5835-4112,ayah (sopan) (var-2679) (var-4814) (var-5835) (var-4112),kata benda,auto-var
keluarga,ちち（れい6514）（れい3045）（れい3076）,chichi-6514-3045-3076,ayah (saya) (var-6514) (var-3045) (var-3076),kata benda,auto-var
perkenalan,こんにちは（れい7689）（れい5520）,konnichiwa-7689-5520,halo (var-7689) (var-5520),ungkapan,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい2084）（れい2403）（れい4346）（れい5649）（れい5140）,sensei o mimasu-1409-5422-2084-2403-4346-5649-5140,Menonton guru (var-1409) (var-5422) (var-2084) (var-2403) (var-4346) (var-5649) (var-5140),frase,auto-var
angka,に（れい3927）（れい8633）（れい3683）（れい5906）（れい9850）（れい6354）,ni-3927-8633-3683-5906-9850-6354,dua (var-3927) (var-8633) (var-3683) (var-5906) (var-9850) (var-6354),angka,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい1241）（れい5333）（れい6050）（れい4680）（れい6851）,ni o mimasu-6574-4752-2040-1241-5333-6050-4680-6851,Menonton dua (var-6574) (var-4752) (var-2040) (var-1241) (var-5333) (var-6050) (var-4680) (var-6851),frase,auto-var
frase,たのしいをします（れい1841）（れい9647）（れい4737）,tanoshii o shimasu-1841-9647-4737,Melakukan menyenangkan (var-1841) (var-9647) (var-4737),frase,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい2876）（れい5397）,gakkou-3286-5915-2876-5397,sekolah (var-3286) (var-5915) (var-2876) (var-5397),kata benda,auto-var
frase,えいががすきです（れい2489）（れい4258）（れい9834）（れい4524）,eiga ga suki desu-2489-4258-9834-4524,Saya suka film (var-2489) (var-4258) (var-9834) (var-4524),frase,auto-var
sekolah,がっこう（れい9827）,gakkou-9827,sekolah (var-9827),kata benda,auto-var
kata kerja,たべる（れい9518）（れい6344）（れい5978）（れい1430）,taberu-9518-6344-5978-1430,makan (var-9518) (var-6344) (var-5978) (var-1430),kata kerja,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい2084）（れい2403）（れい4346）（れい5649）（れい4945）（れい9576）,sensei o mimasu-1409-5422-2084-2403-4346-5649-4945-9576,Menonton guru (var-1409) (var-5422) (var-2084) (var-2403) (var-4346) (var-5649) (var-4945) (var-9576),frase,auto-var
hobi,えいが（れい4582）（れい1711）（れい3266）（れい6753）（れい2292）,eiga-4582-1711-3266-6753-2292,film (var-4582) (var-1711) (var-3266) (var-6753) (var-2292),kata benda,auto-var
angka,に（れい7216）（れい4456）（れい9317）（れい9423）（れい2612）（れい1745）（れい5951）,ni-7216-4456-9317-9423-2612-1745-5951,dua (var-7216) (var-4456) (var-9317) (var-9423) (var-2612) (var-1745) (var-5951),angka,auto-var
kata sifat,たのしい（れい2424）（れい3646）（れい7396）（れい9821）（れい7883）（れい7809）,tanoshii-2424-3646-7396-9821-7883-7809,menyenangkan (var-2424) (var-3646) (var-7396) (var-9821) (var-7883) (var-7809),kata sifat,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい4185）（れい9847）（れい4705）,sensei-5012-8359-4185-9847-4705,guru (var-5012) (var-8359) (var-4185) (var-9847) (var-4705),kata benda,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい1893）（れい3578）,eiga-7118-4770-4872-1893-3578,film (var-7118) (var-4770) (var-4872) (var-1893) (var-3578),kata benda,auto-var
keluarga,ちち（れい6514）（れい6147）（れい4585）（れい5232）（れい9824）（れい8486）（れい6555）（れい4422）（れい3390）,chichi-6514-6147-4585-5232-9824-8486-6555-4422-3390,ayah (saya) (var-6514) (var-6147) (var-4585) (var-5232) (var-9824) (var-8486) (var-6555) (var-4422) (var-3390),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい9196）（れい3615）,tanoshii-2424-1520-9196-3615,menyenangkan (var-2424) (var-1520) (var-9196) (var-3615),kata sifat,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい1964）（れい4652）（れい8316）,tanoshii-2424-1520-5552-2584-9201-1964-4652-8316,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-1964) (var-4652) (var-8316),kata sifat,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい7868）（れい8172）（れい6580）（れい5781）（れい5082）（れい2770）,otousan-2679-1828-7868-8172-6580-5781-5082-2770,ayah (sopan) (var-2679) (var-1828) (var-7868) (var-8172) (var-6580) (var-5781) (var-5082) (var-2770),kata benda,auto-var
hobi,えいが（れい7118）（れい1822）（れい5941）（れい2940）（れい9167）（れい8372）,eiga-7118-1822-5941-2940-9167-8372,film (var-7118) (var-1822) (var-5941) (var-2940) (var-9167) (var-8372),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい9196）（れい2204）（れい9232）,tanoshii-2424-1520-9196-2204-9232,menyenangkan (var-2424) (var-1520) (var-9196) (var-2204) (var-9232),kata sifat,auto-var
perkenalan,こんにちは（れい4257）（れい5386）（れい3504）（れい4613）（れい9561）（れい2527）,konnichiwa-4257-5386-3504-4613-9561-2527,halo (var-4257) (var-5386) (var-3504) (var-4613) (var-9561) (var-2527),ungkapan,auto-var
frase,いえにいきます（れい1626）（れい6761）（れい1496）（れい3347）（れい1011）（れい4304）,ie ni ikimasu-1626-6761-1496-3347-1011-4304,Pergi ke rumah (var-1626) (var-6761) (var-1496) (var-3347) (var-1011) (var-4304),frase,auto-var
keluarga,おとうさん（れい2679）,otousan-2679,ayah (sopan) (var-2679),kata benda,auto-var
frase,たのしいをします（れい4611）（れい3060）（れい9701）（れい3780）（れい7767）,tanoshii o shimasu-4611-3060-9701-3780-7767,Melakukan menyenangkan (var-4611) (var-3060) (var-9701) (var-3780) (var-7767),frase,auto-var
frase,せんせいをみます（れい5554）（れい4846）（れい8193）,sensei o mimasu-5554-4846-8193,Menonton guru (var-5554) (var-4846) (var-8193),frase,auto-var
keluarga,おとうさん（れい2679）（れい4814）（れい5982）（れい6067）（れい2392）,otousan-2679-4814-5982-6067-2392,ayah (sopan) (var-2679) (var-4814) (var-5982) (var-6067) (var-2392),kata benda,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい2127）（れい5002）（れい3024）（れい4533）（れい3740）,eiga-7118-4770-4872-2127-5002-3024-4533-3740,film (var-7118) (var-4770) (var-4872) (var-2127) (var-5002) (var-3024) (var-4533) (var-3740),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい6635）（れい8461）（れい2680）（れい4868）（れい3178）（れい8807）,otousan-1488-6635-8461-2680-4868-3178-8807,ayah (sopan) (var-1488) (var-6635) (var-8461) (var-2680) (var-4868) (var-3178) (var-8807),kata benda,auto-var
frase,ほんにいきます（れい3664）（れい4432）（れい1872）（れい2623）,hon ni ikimasu-3664-4432-1872-2623,Pergi ke buku (var-3664) (var-4432) (var-1872) (var-2623),frase,auto-var
frase,いえにいきます（れい1626）（れい6761）（れい1496）（れい3347）（れい1011）,ie ni ikimasu-1626-6761-1496-3347-1011,Pergi ke rumah (var-1626) (var-6761) (var-1496) (var-3347) (var-1011),frase,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6313）（れい8123）（れい3938）（れい2862）（れい2228）,tabemasu ga suki desu-2139-7227-6313-8123-3938-2862-2228,Saya suka makan (sopan) (var-2139) (var-7227) (var-6313) (var-8123) (var-3938) (var-2862) (var-2228),frase,auto-var
keluarga,おとうさん（れい2679）（れい6155）（れい2160）（れい8752）,otousan-2679-6155-2160-8752,ayah (sopan) (var-2679) (var-6155) (var-2160) (var-8752),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい8260）（れい6617）（れい2070）（れい8245）（れい7984）（れい3093）（れい2680）（れい9163）（れい7637）（れい8113）,sensei o mimasu-4657-8260-6617-2070-8245-7984-3093-2680-9163-7637-8113,Menonton guru (var-4657) (var-8260) (var-6617) (var-2070) (var-8245) (var-7984) (var-3093) (var-2680) (var-9163) (var-7637) (var-8113),frase,auto-var
hobi,えいが（れい7251）,eiga-7251,film (var-7251),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい7242）（れい8480）,sensei o mimasu-4657-6881-7242-8480,Menonton guru (var-4657) (var-6881) (var-7242) (var-8480),frase,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい7622）（れい6568）（れい7224）,ni-3504-3103-3705-7678-7622-6568-7224,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-7622) (var-6568) (var-7224),angka,auto-var
perkenalan,こんにちは（れい8350）（れい8305）（れい7698）（れい7600）,konnichiwa-8350-8305-7698-7600,halo (var-8350) (var-8305) (var-7698) (var-7600),ungkapan,auto-var
hobi,えいが（れい4582）（れい1711）（れい3266）（れい6753）（れい2292）（れい8035）（れい9335）,eiga-4582-1711-3266-6753-2292-8035-9335,film (var-4582) (var-1711) (var-3266) (var-6753) (var-2292) (var-8035) (var-9335),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい2519）（れい9348）（れい1200）（れい7859）,otousan-1488-3615-2519-9348-1200-7859,ayah (sopan) (var-1488) (var-3615) (var-2519) (var-9348) (var-1200) (var-7859),kata benda,auto-var
sekolah,せんせい（れい5193）（れい9446）（れい7933）,sensei-5193-9446-7933,guru (var-5193) (var-9446) (var-7933),kata benda,auto-var
angka,に（れい3927）（れい7735）（れい8932）,ni-3927-7735-8932,dua (var-3927) (var-7735) (var-8932),angka,auto-var
perkenalan,はじめまして（れい7224）（れい2790）（れい5720）（れい5382）（れい9796）,hajimemashite-7224-2790-5720-5382-9796,senang bertemu denganmu (var-7224) (var-2790) (var-5720) (var-5382) (var-9796),ungkapan,auto-var
frase,えいががすきです（れい2489）（れい4258）（れい9835）（れい9433）（れい5947）（れい6971）,eiga ga suki desu-2489-4258-9835-9433-5947-6971,Saya suka film (var-2489) (var-4258) (var-9835) (var-9433) (var-5947) (var-6971),frase,auto-var
keluarga,おとうさん（れい2679）（れい6155）（れい2160）（れい8277）,otousan-2679-6155-2160-8277,ayah (sopan) (var-2679) (var-6155) (var-2160) (var-8277),kata benda,auto-var
perkenalan,はじめまして（れい1053）（れい6539）（れい4228）（れい8700）（れい5961）（れい8780）（れい8210）,hajimemashite-1053-6539-4228-8700-5961-8780-8210,senang bertemu denganmu (var-1053) (var-6539) (var-4228) (var-8700) (var-5961) (var-8780) (var-8210),ungkapan,auto-var
frase,ほんにいきます（れい3664）（れい5304）（れい6930）（れい4630）（れい2821）（れい5992）（れい6175）（れい1301）,hon ni ikimasu-3664-5304-6930-4630-2821-5992-6175-1301,Pergi ke buku (var-3664) (var-5304) (var-6930) (var-4630) (var-2821) (var-5992) (var-6175) (var-1301),frase,auto-var
kata sifat,たのしい（れい2424）（れい3646）（れい7396）（れい3088）（れい2768）（れい3621）（れい7329）（れい7244）（れい2778）,tanoshii-2424-3646-7396-3088-2768-3621-7329-7244-2778,menyenangkan (var-2424) (var-3646) (var-7396) (var-3088) (var-2768) (var-3621) (var-7329) (var-7244) (var-2778),kata sifat,auto-var
perkenalan,はじめまして（れい7224）（れい6507）（れい1894）,hajimemashite-7224-6507-1894,senang bertemu denganmu (var-7224) (var-6507) (var-1894),ungkapan,auto-var
perkenalan,こんにちは（れい4257）（れい5386）（れい3504）（れい7484）（れい5198）（れい7770）（れい3181）（れい6384）,konnichiwa-4257-5386-3504-7484-5198-7770-3181-6384,halo (var-4257) (var-5386) (var-3504) (var-7484) (var-5198) (var-7770) (var-3181) (var-6384),ungkapan,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい7498）（れい5136）（れい3165）（れい7481）（れい2551）,otousan-1488-3615-7498-5136-3165-7481-2551,ayah (sopan) (var-1488) (var-3615) (var-7498) (var-5136) (var-3165) (var-7481) (var-2551),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい9837）（れい7939）（れい4068）,sensei o mimasu-4657-6881-9837-7939-4068,Menonton guru (var-4657) (var-6881) (var-9837) (var-7939) (var-4068),frase,auto-var
keluarga,ちち（れい6514）（れい3287）（れい1152）（れい6908）（れい8896）,chichi-6514-3287-1152-6908-8896,ayah (saya) (var-6514) (var-3287) (var-1152) (var-6908) (var-8896),kata benda,auto-var
frase,ほんにいきます（れい2330）（れい2035）,hon ni ikimasu-2330-2035,Pergi ke buku (var-2330) (var-2035),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい2729）（れい4777）（れい1745）,tanoshii-2424-1520-5552-2584-2729-4777-1745,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-2729) (var-4777) (var-1745),kata sifat,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい1058）（れい8251）（れい4271）（れい5571）（れい2228）,gakkou-3286-5915-1058-8251-4271-5571-2228,sekolah (var-3286) (var-5915) (var-1058) (var-8251) (var-4271) (var-5571) (var-2228),kata benda,auto-var
kata kerja,たべます（れい1035）（れい5291）（れい6772）,tabemasu-1035-5291-6772,makan (sopan) (var-1035) (var-5291) (var-6772),kata kerja (masu),auto-var
hobi,えいが（れい4582）（れい1711）（れい3851）（れい9108）,eiga-4582-1711-3851-9108,film (var-4582) (var-1711) (var-3851) (var-9108),kata benda,auto-var
sekolah,せんせい（れい5371）（れい8744）（れい3441）（れい4770）（れい3842）,sensei-5371-8744-3441-4770-3842,guru (var-5371) (var-8744) (var-3441) (var-4770) (var-3842),kata benda,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6313）（れい8123）（れい3144）（れい8066）（れい8449）,tabemasu ga suki desu-2139-7227-6313-8123-3144-8066-8449,Saya suka makan (sopan) (var-2139) (var-7227) (var-6313) (var-8123) (var-3144) (var-8066) (var-8449),frase,auto-var
frase,ほんにいきます（れい2330）（れい2035）（れい6860）,hon ni ikimasu-2330-2035-6860,Pergi ke buku (var-2330) (var-2035) (var-6860),frase,auto-var
frase,ほんにいきます（れい3664）（れい4728）（れい3330）,hon ni ikimasu-3664-4728-3330,Pergi ke buku (var-3664) (var-4728) (var-3330),frase,auto-var
keluarga,ちち（れい6514）（れい6147）（れい4585）（れい5636）,chichi-6514-6147-4585-5636,ayah (saya) (var-6514) (var-6147) (var-4585) (var-5636),kata benda,auto-var
kata kerja,たべます（れい1035）（れい5291）（れい4833）（れい8094）（れい7695）,tabemasu-1035-5291-4833-8094-7695,makan (sopan) (var-1035) (var-5291) (var-4833) (var-8094) (var-7695),kata kerja (masu),auto-var
hobi,えいが（れい4582）（れい1711）（れい3266）（れい6804）（れい9785）（れい1006）（れい3949）,eiga-4582-1711-3266-6804-9785-1006-3949,film (var-4582) (var-1711) (var-3266) (var-6804) (var-9785) (var-1006) (var-3949),kata benda,auto-var
kata kerja,たべる（れい2291）（れい8751）（れい1853）（れい3742）,taberu-2291-8751-1853-3742,makan (var-2291) (var-8751) (var-1853) (var-3742),kata kerja,auto-var
frase,たべますがすきです（れい1158）（れい8736）（れい7361）,tabemasu ga suki desu-1158-8736-7361,Saya suka makan (sopan) (var-1158) (var-8736) (var-7361),frase,auto-var
angka,に（れい7216）（れい4456）（れい9317）（れい7537）（れい7592）,ni-7216-4456-9317-7537-7592,dua (var-7216) (var-4456) (var-9317) (var-7537) (var-7592),angka,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい7498）（れい5136）（れい5806）（れい2655）（れい8901）,otousan-1488-3615-7498-5136-5806-2655-8901,ayah (sopan) (var-1488) (var-3615) (var-7498) (var-5136) (var-5806) (var-2655) (var-8901),kata benda,auto-var
kata kerja,たべる（れい9165）（れい8673）（れい6736）（れい1307）,taberu-9165-8673-6736-1307,makan (var-9165) (var-8673) (var-6736) (var-1307),kata kerja,auto-var
frase,たべるをみます（れい4150）（れい7572）（れい6862）（れい6873）（れい8822）,taberu o mimasu-4150-7572-6862-6873-8822,Menonton makan (var-4150) (var-7572) (var-6862) (var-6873) (var-8822),frase,auto-var
perkenalan,はじめまして（れい1053）（れい6539）（れい4116）,hajimemashite-1053-6539-4116,senang bertemu denganmu (var-1053) (var-6539) (var-4116),ungkapan,auto-var
sekolah,せんせい（れい5371）（れい8744）（れい3441）（れい4770）（れい8714）,sensei-5371-8744-3441-4770-8714,guru (var-5371) (var-8744) (var-3441) (var-4770) (var-8714),kata benda,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい4185）,sensei-5012-8359-4185,guru (var-5012) (var-8359) (var-4185),kata benda,auto-var
perkenalan,はじめまして（れい1053）（れい6539）（れい4228）（れい8700）（れい5961）（れい8780）,hajimemashite-1053-6539-4228-8700-5961-8780,senang bertemu denganmu (var-1053) (var-6539) (var-4228) (var-8700) (var-5961) (var-8780),ungkapan,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい2697）（れい2889）（れい7797）（れい9691）（れい2234）（れい7012）,ie ni ikimasu-5374-8579-7615-2697-2889-7797-9691-2234-7012,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-2697) (var-2889) (var-7797) (var-9691) (var-2234) (var-7012),frase,auto-var
frase,にをみます（れい1269）（れい3166）,ni o mimasu-1269-3166,Menonton dua (var-1269) (var-3166),frase,auto-var
kata kerja,たべる（れい9165）（れい8673）（れい7401）（れい5809）,taberu-9165-8673-7401-5809,makan (var-9165) (var-8673) (var-7401) (var-5809),kata kerja,auto-var
frase,こんにちはをします（れい4954）,konnichiwa o shimasu-4954,Melakukan halo (var-4954),frase,auto-var
kata kerja,たべます（れい8019）（れい7149）,tabemasu-8019-7149,makan (sopan) (var-8019) (var-7149),kata kerja (masu),auto-var
frase,ほんにいきます（れい3664）（れい5304）（れい6930）（れい6802）（れい8740）,hon ni ikimasu-3664-5304-6930-6802-8740,Pergi ke buku (var-3664) (var-5304) (var-6930) (var-6802) (var-8740),frase,auto-var
frase,いえにいきます（れい1319）（れい3979）（れい7686）（れい6231）,ie ni ikimasu-1319-3979-7686-6231,Pergi ke rumah (var-1319) (var-3979) (var-7686) (var-6231),frase,auto-var
angka,いち（れい7873）（れい8668）（れい7939）（れい9418）,ichi-7873-8668-7939-9418,satu (var-7873) (var-8668) (var-7939) (var-9418),angka,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい2729）,tanoshii-2424-1520-5552-2584-2729,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-2729),kata sifat,auto-var
frase,せんせいをみます（れい1409）（れい4566）（れい3292）,sensei o mimasu-1409-4566-3292,Menonton guru (var-1409) (var-4566) (var-3292),frase,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい1241）（れい5333）（れい5477）,ni o mimasu-6574-4752-2040-1241-5333-5477,Menonton dua (var-6574) (var-4752) (var-2040) (var-1241) (var-5333) (var-5477),frase,auto-var
kata kerja,たべます（れい1035）（れい4269）（れい1096）（れい5133）,tabemasu-1035-4269-1096-5133,makan (sopan) (var-1035) (var-4269) (var-1096) (var-5133),kata kerja (masu),auto-var
hobi,えいが（れい4582）（れい9785）（れい5315）（れい8618）（れい9261）,eiga-4582-9785-5315-8618-9261,film (var-4582) (var-9785) (var-5315) (var-8618) (var-9261),kata benda,auto-var
sekolah,がっこう（れい7691）（れい2746）（れい3223）（れい6222）（れい5067）（れい9303）（れい5819）,gakkou-7691-2746-3223-6222-5067-9303-5819,sekolah (var-7691) (var-2746) (var-3223) (var-6222) (var-5067) (var-9303) (var-5819),kata benda,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい9270）（れい5742）,otousan-2679-1828-9270-5742,ayah (sopan) (var-2679) (var-1828) (var-9270) (var-5742),kata benda,auto-var
angka,に（れい3504）,ni-3504,dua (var-3504),angka,auto-var
hobi,えいが（れい4582）（れい1711）（れい7201）（れい9320）,eiga-4582-1711-7201-9320,film (var-4582) (var-1711) (var-7201) (var-9320),kata benda,auto-var
kata sifat,たのしい（れい2424）（れい3646）（れい7396）（れい9821）（れい2208）（れい4396）（れい2759）,tanoshii-2424-3646-7396-9821-2208-4396-2759,menyenangkan (var-2424) (var-3646) (var-7396) (var-9821) (var-2208) (var-4396) (var-2759),kata sifat,auto-var
frase,にをみます（れい6016）（れい7172）,ni o mimasu-6016-7172,Menonton dua (var-6016) (var-7172),frase,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい5557）（れい6183）（れい6067）（れい2041）（れい8734）,sensei-5012-8359-5557-6183-6067-2041-8734,guru (var-5012) (var-8359) (var-5557) (var-6183) (var-6067) (var-2041) (var-8734),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい9837）（れい7939）,sensei o mimasu-4657-6881-9837-7939,Menonton guru (var-4657) (var-6881) (var-9837) (var-7939),frase,auto-var
sekolah,せんせい（れい7658）（れい3001）（れい5712）（れい8605）,sensei-7658-3001-5712-8605,guru (var-7658) (var-3001) (var-5712) (var-8605),kata benda,auto-var
angka,に（れい7216）（れい4456）（れい9830）（れい4981）（れい6603）（れい6634）,ni-7216-4456-9830-4981-6603-6634,dua (var-7216) (var-4456) (var-9830) (var-4981) (var-6603) (var-6634),angka,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい9375）（れい7070）（れい2503）,sensei o mimasu-1409-5422-9375-7070-2503,Menonton guru (var-1409) (var-5422) (var-9375) (var-7070) (var-2503),frase,auto-var
sekolah,せんせい（れい5371）（れい5092）（れい2880）（れい6493）,sensei-5371-5092-2880-6493,guru (var-5371) (var-5092) (var-2880) (var-6493),kata benda,auto-var
hobi,えいが（れい4582）（れい1711）（れい3266）（れい8492）,eiga-4582-1711-3266-8492,film (var-4582) (var-1711) (var-3266) (var-8492),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい5922）（れい9021）（れい5885）,otousan-1488-3615-5922-9021-5885,ayah (sopan) (var-1488) (var-3615) (var-5922) (var-9021) (var-5885),kata benda,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい8177）（れい9900）,ni o mimasu-6574-4752-2040-8177-9900,Menonton dua (var-6574) (var-4752) (var-2040) (var-8177) (var-9900),frase,auto-var
